household_id,division_id,my_needs_segment,persona,facts_seg,ecom_ind,rewards_engaged,email_flag,push_flag,sms_flag,pre_weekly_net_sales,channel_mix
1000000,5,One_Stop_Low_Price,Wellness,Lapsing,0,1,1,1,0,47.41,4.Email+Push
1000001,3,Healthy_Foodies,Wellness,Lapsing,0,0,1,0,1,8.24,5.Email+SMS
1000002,6,Easy_Shopping,Value,Occasional,1,0,1,0,0,151.02,1.Email-only
1000003,5,Easy_Eating,Convenience,Occasional,0,0,1,0,0,23.05,1.Email-only
1000004,1,Chasing_Price,Family,Lapsing,1,1,1,1,0,34.66,4.Email+Push
1000006,5,Chasing_Price,Wellness,Loyal,0,0,1,0,0,9.27,1.Email-only
1000007,5,Easy_Eating,Family,Loyal,1,1,1,0,0,53.12,1.Email-only
1000008,1,Scratch_Foodies,Convenience,Loyal,0,1,1,0,1,143.73,5.Email+SMS
1000009,3,Easy_Eating,Premium,Loyal,0,1,0,1,0,267.46,2.Push-only
1000010,2,Scratch_Foodies,Value,New,0,0,1,0,0,7.99,1.Email-only
1000011,7,One_Stop_Low_Price,Wellness,Occasional,0,1,1,0,0,110.4,1.Email-only
1000012,4,Easy_Eating,Value,Loyal,0,1,1,0,0,24.28,1.Email-only
1000013,6,Chasing_Price,Convenience,Loyal,1,1,1,0,0,85.7,1.Email-only
1000015,2,One_Stop_Low_Price,Convenience,Occasional,0,0,1,0,0,139.52,1.Email-only
1000016,4,Scratch_Foodies,Convenience,Loyal,1,0,1,0,0,50.8,1.Email-only
1000017,1,Healthy_Foodies,Wellness,New,0,1,1,0,0,147.97,1.Email-only
1000018,6,One_Stop_Low_Price,Family,Loyal,0,1,0,0,1,65.59,3.SMS-only
1000019,4,Healthy_Foodies,Convenience,Occasional,0,0,1,1,1,97.9,7.Email+Push+SMS
1000020,5,Healthy_Foodies,Value,Occasional,0,1,1,1,0,49.48,4.Email+Push
1000021,2,Chasing_Price,Convenience,Loyal,0,0,1,0,1,84.54,5.Email+SMS
1000022,8,Scratch_Foodies,Family,Loyal,0,1,1,0,1,180.61,5.Email+SMS
1000023,7,Easy_Eating,Family,Lapsing,0,1,1,1,0,22.06,4.Email+Push
1000024,5,Easy_Shopping,Convenience,Loyal,1,1,1,0,0,185.66,1.Email-only
1000025,1,Easy_Eating,Convenience,Lapsing,0,0,1,0,0,18.31,1.Email-only
1000026,3,Healthy_Foodies,Family,Occasional,1,0,1,1,0,95.51,4.Email+Push
1000027,1,One_Stop_Low_Price,Wellness,Loyal,0,0,1,0,0,30.52,1.Email-only
1000028,1,Easy_Shopping,Wellness,Loyal,1,1,1,0,1,20.06,5.Email+SMS
1000029,5,Chasing_Price,Convenience,Occasional,0,0,1,0,0,86.95,1.Email-only
1000030,5,Easy_Shopping,Value,Loyal,0,1,1,1,0,50.89,4.Email+Push
1000031,8,Chasing_Price,Convenience,Lapsing,0,1,1,1,1,30.75,7.Email+Push+SMS
1000032,2,Easy_Eating,Wellness,Loyal,0,0,1,0,0,13.54,1.Email-only
1000033,2,Chasing_Price,Value,New,1,0,1,0,1,8.24,5.Email+SMS
1000034,3,One_Stop_Low_Price,Wellness,Loyal,0,0,1,1,0,59.64,4.Email+Push
1000035,1,Healthy_Foodies,Value,Loyal,1,1,1,1,0,92.71,4.Email+Push
1000036,1,Easy_Eating,Convenience,Occasional,0,1,1,1,0,86.83,4.Email+Push
1000037,3,Easy_Shopping,Value,Occasional,1,0,1,1,0,35.34,4.Email+Push
1000038,2,Chasing_Price,Wellness,New,0,1,1,1,0,38.84,4.Email+Push
1000039,5,Healthy_Foodies,Wellness,Loyal,0,1,0,0,1,32.9,3.SMS-only
1000040,3,Chasing_Price,Value,Lapsing,0,1,1,0,0,70.6,1.Email-only
1000041,6,One_Stop_Low_Price,Value,Loyal,1,0,1,1,0,11.5,4.Email+Push
1000042,5,Healthy_Foodies,Convenience,Loyal,0,1,0,1,0,54.92,2.Push-only
1000043,2,Easy_Eating,Convenience,Loyal,0,1,1,1,1,45.26,7.Email+Push+SMS
1000044,6,Chasing_Price,Convenience,Occasional,1,0,1,0,0,68.45,1.Email-only
1000045,6,Chasing_Price,Value,Occasional,0,0,0,1,1,37.49,6.Push+SMS
1000046,3,Easy_Eating,Family,Loyal,0,0,0,1,0,56.35,2.Push-only
1000047,2,Chasing_Price,Value,Lapsing,1,1,1,0,1,89.35,5.Email+SMS
1000048,5,Chasing_Price,Wellness,New,1,1,1,1,0,98.1,4.Email+Push
1000049,1,Easy_Shopping,Value,Occasional,0,1,1,0,0,29.85,1.Email-only
1000050,1,Healthy_Foodies,Premium,Lapsing,0,1,0,1,0,72.02,2.Push-only
1000051,1,Healthy_Foodies,Value,Loyal,0,0,1,1,0,123.61,4.Email+Push
1000052,5,Healthy_Foodies,Family,Occasional,0,0,1,0,1,7.76,5.Email+SMS
1000053,4,Scratch_Foodies,Wellness,Occasional,0,1,1,1,1,13.59,7.Email+Push+SMS
1000054,5,Easy_Shopping,Family,Lapsing,0,1,0,1,0,23.07,2.Push-only
1000055,5,Healthy_Foodies,Value,Loyal,0,1,1,0,0,34.7,1.Email-only
1000056,3,Easy_Shopping,Wellness,New,0,0,1,0,0,71.33,1.Email-only
1000057,4,Healthy_Foodies,Value,New,1,0,0,0,1,18.22,3.SMS-only
1000058,1,Scratch_Foodies,Convenience,Loyal,0,1,1,0,1,69.63,5.Email+SMS
1000059,1,Easy_Shopping,Convenience,Loyal,0,1,1,0,0,19.03,1.Email-only
1000060,5,Easy_Eating,Wellness,Loyal,0,1,1,0,1,41.71,5.Email+SMS
1000061,3,Easy_Eating,Wellness,Lapsing,0,1,0,1,0,7.53,2.Push-only
1000062,4,Easy_Eating,Wellness,Loyal,0,0,1,0,1,25.63,5.Email+SMS
1000063,5,Easy_Eating,Family,Occasional,0,0,1,1,1,107.47,7.Email+Push+SMS
1000064,4,Chasing_Price,Family,Loyal,0,0,1,1,0,18.34,4.Email+Push
1000065,4,Easy_Eating,Family,Lapsing,0,1,0,1,0,445.37,2.Push-only
1000066,4,Easy_Shopping,Value,Loyal,1,0,1,0,0,51.18,1.Email-only
1000067,2,Chasing_Price,Value,Occasional,1,0,1,0,0,23.45,1.Email-only
1000068,1,Easy_Eating,Wellness,Loyal,1,0,1,0,0,20.96,1.Email-only
1000069,3,Easy_Eating,Convenience,New,0,1,1,1,0,95.69,4.Email+Push
1000070,2,Easy_Eating,Value,Loyal,0,0,1,0,0,8.42,1.Email-only
1000071,3,Chasing_Price,Value,Occasional,1,1,1,1,1,38.97,7.Email+Push+SMS
1000072,6,Easy_Shopping,Value,Occasional,0,1,1,0,0,93.51,1.Email-only
1000073,2,Healthy_Foodies,Wellness,Lapsing,0,0,1,0,0,31.52,1.Email-only
1000074,1,Easy_Eating,Family,Lapsing,0,1,1,0,0,313.85,1.Email-only
